demand_id,item_id,daily_demand,demand_std_dev,forecasted_demand_next_7d,total_orders_last_month
1,ITM10000,49.85,1.56,184.37,700
2,ITM10001,23.34,2.55,221.94,736
3,ITM10002,37.69,3.15,53.85,814
4,ITM10003,33.69,2.79,92.04,994
5,ITM10004,49.58,5.23,194.58,299
6,ITM10005,35.95,9.47,180.65,477
7,ITM10006,9.04,4.72,223.69,418
8,ITM10007,47.82,6.78,195.75,958
9,ITM10008,33.72,7.04,105.74,697
10,ITM10009,3.91,8.78,154.78,496
11,ITM10010,33.22,0.82,266.58,71
12,ITM10011,44.27,4.34,63.97,599
13,ITM10012,29.28,7.95,119.26,588
14,ITM10013,18.35,8.24,254.1,331
15,ITM10014,41.22,9.31,115.62,328
16,ITM10015,39.34,7.18,129.55,169
17,ITM10016,27.66,2.83,102.57,302
18,ITM10017,8.56,5.3,270.86,920
19,ITM10018,13.3,0.81,202.37,526
20,ITM10019,37.19,6.65,70.55,114
21,ITM10020,40.5,5.77,227.39,635
22,ITM10021,14.68,6.83,21.17,352
23,ITM10022,19.03,9.34,124.96,366
24,ITM10023,4.8,7.03,273.83,223
25,ITM10024,35.96,3.54,210.04,949
26,ITM10025,1.18,2.39,240.0,464
27,ITM10026,3.28,8.62,280.08,309
28,ITM10027,1.21,2.35,234.62,334
29,ITM10028,32.62,2.04,35.69,122
30,ITM10029,21.45,2.46,76.89,128
31,ITM10030,15.58,5.33,155.0,93
32,ITM10031,45.72,1.68,14.02,794
33,ITM10032,10.45,9.41,191.13,52
34,ITM10033,20.08,9.68,200.6,492
35,ITM10034,47.08,9.75,211.97,128
36,ITM10035,21.93,0.87,171.16,426
37,ITM10036,28.18,9.49,141.19,742
38,ITM10037,4.94,9.98,258.11,188
39,ITM10038,39.72,9.45,232.53,951
40,ITM10039,21.72,6.87,187.58,864
41,ITM10040,40.23,7.16,23.34,56
42,ITM10041,13.44,1.66,211.24,932
43,ITM10042,21.7,8.81,171.87,927
44,ITM10043,39.54,1.07,211.11,885
45,ITM10044,48.72,3.52,100.31,774
46,ITM10045,3.92,9.92,235.33,562
47,ITM10046,40.81,4.51,131.2,745
48,ITM10047,15.73,1.75,269.4,812
49,ITM10048,27.99,9.71,40.16,776
50,ITM10049,15.21,9.85,150.52,126
51,ITM10050,31.06,2.28,69.66,92
52,ITM10051,18.34,8.72,141.51,973
53,ITM10052,17.35,4.21,112.59,206
54,ITM10053,2.86,4.12,243.0,579
55,ITM10054,8.2,3.0,58.48,904
56,ITM10055,45.94,0.92,183.63,269
57,ITM10056,49.92,3.05,127.88,634
58,ITM10057,39.25,1.01,160.24,239
59,ITM10058,15.05,9.28,217.18,924
60,ITM10059,20.72,6.79,113.56,311
61,ITM10060,37.24,8.92,116.45,193
62,ITM10061,48.46,7.31,32.27,534
63,ITM10062,23.32,1.75,170.06,690
64,ITM10063,41.65,9.44,130.9,327
65,ITM10064,48.78,9.05,245.56,863
66,ITM10065,43.8,3.81,137.39,751
67,ITM10066,12.13,1.56,291.53,712
68,ITM10067,1.39,7.19,59.82,966
69,ITM10068,25.11,7.42,87.45,356
70,ITM10069,27.04,9.02,123.65,945
71,ITM10070,10.86,1.0,59.42,656
72,ITM10071,14.95,1.85,291.97,599
73,ITM10072,38.49,6.18,195.88,205
74,ITM10073,24.05,6.38,13.25,349
75,ITM10074,16.55,0.82,177.77,396
76,ITM10075,31.51,4.27,236.56,472
77,ITM10076,32.99,6.05,24.88,475
78,ITM10077,38.7,7.51,177.6,91
79,ITM10078,8.68,3.5,118.55,365
80,ITM10079,37.33,5.1,178.63,687
81,ITM10080,30.37,8.23,83.26,874
82,ITM10081,3.82,9.56,203.14,126
83,ITM10082,39.09,2.69,204.69,145
84,ITM10083,19.77,2.9,166.46,312
85,ITM10084,17.19,9.43,277.89,868
86,ITM10085,22.96,4.26,273.75,786
87,ITM10086,17.96,7.32,23.79,672
88,ITM10087,17.58,6.32,94.07,799
89,ITM10088,40.6,3.21,115.64,254
90,ITM10089,7.1,6.71,26.03,337
91,ITM10090,48.56,6.73,161.85,312
92,ITM10091,28.19,6.13,17.13,637
93,ITM10092,9.96,1.45,206.64,985
94,ITM10093,7.43,9.95,10.78,704
95,ITM10094,29.98,4.3,19.26,364
96,ITM10095,32.02,6.56,251.79,418
97,ITM10096,3.6,8.91,83.26,646
98,ITM10097,12.91,4.52,33.56,957
99,ITM10098,39.98,7.85,125.85,301
100,ITM10099,3.43,9.73,24.78,382
101,ITM10100,42.9,3.91,227.62,793
102,ITM10101,33.25,4.35,153.3,475
103,ITM10102,22.29,9.1,170.06,344
104,ITM10103,17.98,2.02,228.37,880
105,ITM10104,1.94,0.77,237.49,691
106,ITM10105,41.44,9.13,49.51,334
107,ITM10106,7.99,8.31,91.28,366
108,ITM10107,16.17,9.74,60.94,561
109,ITM10108,28.89,1.05,25.67,78
110,ITM10109,13.05,1.98,165.88,789
111,ITM10110,25.36,1.5,82.44,343
112,ITM10111,40.66,6.99,54.65,56
113,ITM10112,24.06,6.26,157.94,591
114,ITM10113,47.5,3.91,193.86,264
115,ITM10114,42.53,1.05,233.91,676
116,ITM10115,17.32,6.58,15.07,264
117,ITM10116,20.6,5.92,162.62,213
118,ITM10117,21.74,1.57,87.45,219
119,ITM10118,31.68,9.13,297.56,270
