inventory_id,item_id,warehouse_id,stock_level,reorder_point,reorder_frequency_days,lead_time_days,last_restock_date,stockout_count_last_month,turnover_ratio
1,ITM10000,WH_L82,283,21,4,4,2024-02-17,0,3.33
2,ITM10001,WH_L15,301,52,9,6,2024-10-01,3,10.36
3,ITM10002,WH_L4,132,60,11,8,2024-04-07,7,14.32
4,ITM10003,WH_L95,346,46,13,5,2024-01-27,0,2.08
5,ITM10004,WH_L36,49,55,4,6,2024-05-17,5,5.65
6,ITM10005,WH_L32,154,62,9,6,2024-07-12,1,7.61
7,ITM10006,WH_L29,86,97,6,4,2024-12-10,8,4.25
8,ITM10007,WH_L18,84,89,13,4,2024-11-05,7,11.37
9,ITM10008,WH_L95,311,22,4,9,2024-11-04,8,10.64
10,ITM10009,WH_L14,44,98,9,8,2024-01-21,8,2.65
11,ITM10010,WH_L87,56,63,7,2,2024-02-07,1,8.97
12,ITM10011,WH_L95,20,66,3,7,2024-04-06,1,6.16
13,ITM10012,WH_L70,418,13,7,3,2024-10-27,8,4.2
14,ITM10013,WH_L12,56,84,14,5,2024-12-09,1,12.88
15,ITM10014,WH_L76,160,58,14,4,2024-10-13,3,1.77
16,ITM10015,WH_L55,251,16,5,5,2024-04-21,1,7.54
17,ITM10016,WH_L5,155,20,9,7,2024-09-02,0,7.65
18,ITM10017,WH_L4,408,63,8,7,2024-04-16,9,8.98
19,ITM10018,WH_L12,207,96,10,8,2024-06-19,6,3.77
20,ITM10019,WH_L28,147,54,7,6,2024-06-04,4,13.2
21,ITM10020,WH_L30,220,32,4,8,2024-01-08,2,14.51
22,ITM10021,WH_L65,146,37,11,3,2024-04-18,7,8.69
23,ITM10022,WH_L78,276,66,13,2,2024-04-07,4,4.59
24,ITM10023,WH_L4,183,35,10,5,2024-03-01,0,13.28
25,ITM10024,WH_L72,54,34,8,3,2024-09-02,8,14.83
26,ITM10025,WH_L26,213,63,12,9,2024-05-04,4,11.39
27,ITM10026,WH_L92,210,38,9,2,2024-12-22,2,5.67
28,ITM10027,WH_L84,123,92,11,5,2024-11-05,5,4.3
29,ITM10028,WH_L90,42,45,9,3,2024-12-26,7,3.19
30,ITM10029,WH_L70,284,23,5,4,2024-04-14,1,4.29
31,ITM10030,WH_L54,309,87,8,5,2024-07-22,2,4.18
32,ITM10031,WH_L29,449,44,13,3,2024-05-02,6,14.54
33,ITM10032,WH_L58,481,39,13,7,2024-10-09,1,10.01
34,ITM10033,WH_L76,403,26,9,2,2024-06-13,4,3.34
35,ITM10034,WH_L36,279,76,4,3,2024-05-24,8,7.83
36,ITM10035,WH_L1,433,89,5,4,2024-07-13,6,3.58
37,ITM10036,WH_L98,498,39,6,8,2024-08-26,2,9.48
38,ITM10037,WH_L21,377,54,12,5,2024-09-30,1,5.78
39,ITM10038,WH_L90,94,88,8,9,2024-11-28,9,3.74
40,ITM10039,WH_L55,374,98,3,5,2024-07-02,8,4.4
41,ITM10040,WH_L44,91,60,11,5,2024-06-06,8,10.45
42,ITM10041,WH_L36,278,56,7,4,2024-05-13,8,6.71
43,ITM10042,WH_L20,417,62,14,2,2024-07-03,9,8.18
44,ITM10043,WH_L28,207,73,9,5,2024-09-19,2,12.5
45,ITM10044,WH_L98,480,47,11,2,2024-09-11,0,10.18
46,ITM10045,WH_L44,192,73,11,3,2024-08-26,8,7.47
47,ITM10046,WH_L14,499,96,3,7,2024-02-20,6,14.36
48,ITM10047,WH_L12,309,98,3,9,2024-08-28,1,4.0
49,ITM10048,WH_L49,64,16,5,7,2024-06-12,5,5.05
50,ITM10049,WH_L13,80,31,8,2,2024-04-14,8,13.76
51,ITM10050,WH_L46,102,90,4,2,2024-07-08,7,12.95
52,ITM10051,WH_L45,142,91,12,7,2024-06-09,5,2.82
53,ITM10052,WH_L78,377,50,14,5,2024-07-30,5,14.02
54,ITM10053,WH_L34,35,83,13,6,2024-01-24,7,1.14
55,ITM10054,WH_L6,85,19,3,6,2024-10-15,8,12.51
56,ITM10055,WH_L94,443,66,3,4,2024-04-23,7,4.9
57,ITM10056,WH_L59,164,16,7,9,2024-03-15,0,3.64
58,ITM10057,WH_L69,394,59,6,8,2024-01-09,1,7.28
59,ITM10058,WH_L16,181,61,3,7,2024-05-13,5,13.56
60,ITM10059,WH_L49,253,42,6,7,2024-10-10,7,12.0
61,ITM10060,WH_L11,399,10,5,4,2024-10-26,3,14.54
62,ITM10061,WH_L71,163,62,4,9,2024-10-23,3,8.57
63,ITM10062,WH_L38,377,69,11,6,2024-08-01,1,8.15
64,ITM10063,WH_L81,207,43,13,3,2024-05-31,9,1.18
65,ITM10064,WH_L80,341,13,3,5,2024-03-19,0,3.53
66,ITM10065,WH_L47,469,26,9,5,2024-04-10,9,7.97
67,ITM10066,WH_L74,493,13,6,3,2024-06-17,8,11.54
68,ITM10067,WH_L25,32,52,7,3,2024-04-27,6,12.52
69,ITM10068,WH_L91,203,99,12,9,2024-07-13,8,4.97
70,ITM10069,WH_L9,130,13,7,6,2024-10-18,1,10.97
71,ITM10070,WH_L6,434,10,3,4,2024-05-05,9,12.6
72,ITM10071,WH_L85,309,80,8,3,2024-09-12,4,6.25
73,ITM10072,WH_L30,314,59,11,4,2024-10-08,1,10.74
74,ITM10073,WH_L99,470,82,4,9,2024-12-01,9,7.12
75,ITM10074,WH_L38,411,70,9,8,2024-12-16,6,14.8
76,ITM10075,WH_L11,234,44,8,2,2024-06-21,8,1.09
77,ITM10076,WH_L30,481,17,7,5,2024-05-11,2,6.8
78,ITM10077,WH_L13,139,33,6,6,2024-09-07,0,4.69
79,ITM10078,WH_L49,401,92,6,5,2024-11-24,3,12.9
80,ITM10079,WH_L36,74,45,8,6,2024-09-08,3,5.02
81,ITM10080,WH_L59,46,59,6,9,2024-08-23,5,8.61
82,ITM10081,WH_L82,137,52,7,2,2024-03-27,4,11.36
83,ITM10082,WH_L47,240,36,8,5,2024-06-29,4,7.96
84,ITM10083,WH_L21,250,41,7,2,2024-03-27,8,6.75
85,ITM10084,WH_L48,72,87,9,9,2024-03-12,0,1.6
86,ITM10085,WH_L46,314,27,11,6,2024-10-06,7,1.32
87,ITM10086,WH_L27,340,37,12,3,2024-09-07,7,14.4
88,ITM10087,WH_L86,420,38,9,8,2024-04-04,7,10.01
89,ITM10088,WH_L35,252,25,9,5,2024-10-04,2,12.55
90,ITM10089,WH_L90,177,56,6,2,2024-11-24,9,7.73
91,ITM10090,WH_L88,456,68,3,7,2024-01-31,7,4.66
92,ITM10091,WH_L83,288,40,10,5,2024-09-25,1,5.12
93,ITM10092,WH_L10,40,13,6,5,2024-01-18,7,1.61
94,ITM10093,WH_L78,422,46,3,5,2024-02-08,7,12.07
95,ITM10094,WH_L82,72,26,7,4,2024-12-08,2,9.14
96,ITM10095,WH_L22,294,48,10,2,2024-01-25,3,7.73
97,ITM10096,WH_L69,332,57,6,2,2024-01-04,8,12.93
98,ITM10097,WH_L94,300,55,14,5,2024-07-30,8,7.23
99,ITM10098,WH_L32,233,99,10,9,2024-03-11,9,14.27
100,ITM10099,WH_L21,50,57,10,9,2024-11-18,8,1.19
101,ITM10100,WH_L60,356,48,5,3,2024-04-28,9,14.78
102,ITM10101,WH_L49,202,13,11,5,2024-02-04,5,12.42
103,ITM10102,WH_L35,42,39,5,4,2024-12-28,0,5.97
104,ITM10103,WH_L82,51,39,3,6,2024-03-18,7,9.34
105,ITM10104,WH_L89,465,31,4,4,2024-01-05,8,13.1
106,ITM10105,WH_L72,93,84,8,9,2024-04-21,7,7.74
107,ITM10106,WH_L29,29,75,14,3,2024-09-15,0,1.71
108,ITM10107,WH_L88,475,21,12,9,2024-08-21,5,13.65
109,ITM10108,WH_L42,73,45,4,9,2024-07-10,8,8.24
110,ITM10109,WH_L99,71,27,8,9,2024-01-31,8,8.63
111,ITM10110,WH_L100,167,99,3,5,2024-11-12,6,1.19
112,ITM10111,WH_L8,179,62,13,9,2024-11-22,6,2.4
113,ITM10112,WH_L30,389,80,3,2,2024-12-07,3,11.88
114,ITM10113,WH_L5,33,10,7,8,2024-11-11,6,7.09
115,ITM10114,WH_L41,197,67,12,7,2024-09-04,9,14.97
116,ITM10115,WH_L52,431,99,13,5,2024-12-03,4,10.74
117,ITM10116,WH_L35,385,96,11,3,2024-09-06,9,14.29
118,ITM10117,WH_L9,72,99,10,2,2024-01-09,4,4.91
119,ITM10118,WH_L28,427,15,5,4,2024-01-04,0,3.47
120,ITM10119,WH_L73,354,79,5,9,2024-09-29,1,6.27
121,ITM10120,WH_L92,41,53,3,6,2024-10-09,8,4.71
122,ITM10121,WH_L41,49,81,5,6,2024-07-29,1,9.59
123,ITM10122,WH_L28,210,33,14,8,2024-01-07,9,11.42
124,ITM10123,WH_L84,279,95,14,5,2024-01-09,1,6.63
125,ITM10124,WH_L64,224,28,14,4,2024-09-28,8,2.26
126,ITM10125,WH_L51,78,27,13,8,2024-05-20,2,1.37
127,ITM10126,WH_L83,490,39,3,7,2024-10-01,1,4.05
128,ITM10127,WH_L59,283,51,10,7,2024-05-26,6,11.25
129,ITM10128,WH_L19,485,42,3,8,2024-01-09,8,4.1
130,ITM10129,WH_L34,31,83,7,3,2024-09-14,5,13.75
131,ITM10130,WH_L18,138,21,11,6,2024-12-23,6,10.12
132,ITM10131,WH_L32,434,36,9,4,2024-12-11,2,13.07
133,ITM10132,WH_L96,481,48,6,5,2024-08-08,2,6.4
134,ITM10133,WH_L72,309,18,13,9,2024-04-01,7,14.77
135,ITM10134,WH_L69,357,30,11,2,2024-02-24,6,10.51
136,ITM10135,WH_L34,267,85,11,5,2024-02-19,4,6.0
137,ITM10136,WH_L96,373,38,4,5,2024-09-25,5,3.98
138,ITM10137,WH_L75,146,42,12,4,2024-03-17,8,13.13
139,ITM10138,WH_L55,94,71,12,6,2024-05-03,2,5.45
140,ITM10139,WH_L75,380,24,13,4,2024-04-08,2,1.62
141,ITM10140,WH_L52,223,11,14,2,2024-11-13,5,4.9
142,ITM10141,WH_L47,68,61,8,8,2024-09-26,7,3.51
143,ITM10142,WH_L29,98,53,6,4,2024-05-09,4,5.48
144,ITM10143,WH_L18,460,63,10,3,2024-06-30,0,9.59
145,ITM10144,WH_L66,498,27,14,5,2024-05-16,2,8.01
146,ITM10145,WH_L64,260,12,13,6,2024-07-22,7,10.95
147,ITM10146,WH_L12,368,16,9,9,2024-02-10,3,5.67
148,ITM10147,WH_L97,173,52,9,7,2024-07-10,8,2.68
149,ITM10148,WH_L7,293,91,13,2,2024-07-26,5,3.24
150,ITM10149,WH_L15,115,47,12,7,2024-08-23,9,12.16
151,ITM10150,WH_L20,233,46,11,5,2024-10-16,3,2.37
152,ITM10151,WH_L81,313,67,7,4,2024-05-04,3,12.17
153,ITM10152,WH_L21,228,42,8,7,2024-12-22,9,3.98
154,ITM10153,WH_L88,362,68,3,3,2024-04-25,4,10.5
155,ITM10154,WH_L55,107,20,8,4,2024-06-02,6,9.72
156,ITM10155,WH_L77,325,77,4,5,2024-12-16,6,2.38
157,ITM10156,WH_L9,283,91,8,7,2024-02-11,9,10.32
158,ITM10157,WH_L50,444,77,11,9,2024-11-30,6,7.27
159,ITM10158,WH_L49,409,97,10,8,2024-11-28,4,10.9
160,ITM10159,WH_L77,344,31,11,2,2024-01-17,8,12.7
161,ITM10160,WH_L60,447,75,12,7,2024-02-17,1,1.55
162,ITM10161,WH_L68,396,53,10,9,2024-07-26,7,10.07
163,ITM10162,WH_L33,339,15,5,8,2024-07-13,9,2.47
164,ITM10163,WH_L71,176,51,10,8,2024-07-12,7,6.3
165,ITM10164,WH_L2,175,34,8,7,2024-10-09,2,1.18
