operations_id,item_id,warehouse_id,picking_time_seconds,order_fulfillment_rate,KPI_score
1,ITM10000,WH_L82,106,0.8,0.556
2,ITM10001,WH_L15,45,0.79,0.723
3,ITM10002,WH_L4,177,0.75,0.68
4,ITM10003,WH_L95,39,0.96,0.488
5,ITM10004,WH_L36,35,0.83,0.67
6,ITM10005,WH_L32,94,0.99,0.803
7,ITM10006,WH_L29,110,0.88,0.526
8,ITM10007,WH_L18,130,0.74,0.558
9,ITM10008,WH_L95,40,0.86,0.541
10,ITM10009,WH_L14,26,1.0,0.366
11,ITM10010,WH_L87,107,0.87,0.599
12,ITM10011,WH_L95,135,0.7,0.632
13,ITM10012,WH_L70,33,0.98,0.473
14,ITM10013,WH_L12,131,0.77,0.836
15,ITM10014,WH_L76,141,0.91,0.506
16,ITM10015,WH_L55,146,0.85,0.541
17,ITM10016,WH_L5,139,0.8,0.602
18,ITM10017,WH_L4,172,0.78,0.526
19,ITM10018,WH_L12,132,0.98,0.591
20,ITM10019,WH_L28,47,0.97,0.654
21,ITM10020,WH_L30,152,0.85,0.727
22,ITM10021,WH_L65,179,0.78,0.535
23,ITM10022,WH_L78,140,0.73,0.419
24,ITM10023,WH_L4,168,0.75,0.624
25,ITM10024,WH_L72,178,0.86,0.657
26,ITM10025,WH_L26,66,0.79,0.634
27,ITM10026,WH_L92,51,0.71,0.487
28,ITM10027,WH_L84,62,0.84,0.47
29,ITM10028,WH_L90,128,0.92,0.624
30,ITM10029,WH_L70,130,0.97,0.591
31,ITM10030,WH_L54,65,0.88,0.449
32,ITM10031,WH_L29,96,0.92,0.676
33,ITM10032,WH_L58,85,0.81,0.58
34,ITM10033,WH_L76,94,0.85,0.565
35,ITM10034,WH_L36,94,0.92,0.526
36,ITM10035,WH_L1,169,0.92,0.674
37,ITM10036,WH_L98,90,0.83,0.552
38,ITM10037,WH_L21,174,0.86,0.695
39,ITM10038,WH_L90,17,0.98,0.573
40,ITM10039,WH_L55,20,0.89,0.425
41,ITM10040,WH_L44,147,0.89,0.553
42,ITM10041,WH_L36,124,0.94,0.56
43,ITM10042,WH_L20,90,0.73,0.434
44,ITM10043,WH_L28,96,0.86,0.693
45,ITM10044,WH_L98,51,0.99,0.779
46,ITM10045,WH_L44,46,0.81,0.435
47,ITM10046,WH_L14,101,0.79,0.697
48,ITM10047,WH_L12,94,0.88,0.724
49,ITM10048,WH_L49,68,0.77,0.403
50,ITM10049,WH_L13,161,0.87,0.607
51,ITM10050,WH_L46,165,0.75,0.601
52,ITM10051,WH_L45,46,0.87,0.482
53,ITM10052,WH_L78,30,0.88,0.61
54,ITM10053,WH_L34,170,0.83,0.589
55,ITM10054,WH_L6,139,0.81,0.665
56,ITM10055,WH_L94,92,0.77,0.634
57,ITM10056,WH_L59,165,0.8,0.585
58,ITM10057,WH_L69,152,0.85,0.737
59,ITM10058,WH_L16,10,0.77,0.507
60,ITM10059,WH_L49,116,0.93,0.632
61,ITM10060,WH_L11,37,0.91,0.66
62,ITM10061,WH_L71,59,0.78,0.553
63,ITM10062,WH_L38,44,0.73,0.696
64,ITM10063,WH_L81,165,0.7,0.273
65,ITM10064,WH_L80,146,0.88,0.702
66,ITM10065,WH_L47,161,0.76,0.561
67,ITM10066,WH_L74,141,0.7,0.537
68,ITM10067,WH_L25,50,0.81,0.638
69,ITM10068,WH_L91,76,0.99,0.459
70,ITM10069,WH_L9,57,0.91,0.73
71,ITM10070,WH_L6,95,0.96,0.718
72,ITM10071,WH_L85,67,0.74,0.647
73,ITM10072,WH_L30,48,0.72,0.687
74,ITM10073,WH_L99,34,0.7,0.421
75,ITM10074,WH_L38,69,0.99,0.66
76,ITM10075,WH_L11,126,0.79,0.563
77,ITM10076,WH_L30,95,0.84,0.651
78,ITM10077,WH_L13,123,0.82,0.657
79,ITM10078,WH_L49,93,0.92,0.72
80,ITM10079,WH_L36,164,0.79,0.503
81,ITM10080,WH_L59,133,0.86,0.567
82,ITM10081,WH_L82,120,1.0,0.577
83,ITM10082,WH_L47,51,0.83,0.586
84,ITM10083,WH_L21,61,0.87,0.503
85,ITM10084,WH_L48,57,0.85,0.494
86,ITM10085,WH_L46,41,0.94,0.394
87,ITM10086,WH_L27,161,0.78,0.483
88,ITM10087,WH_L86,140,0.75,0.483
89,ITM10088,WH_L35,127,0.93,0.689
90,ITM10089,WH_L90,164,0.82,0.521
91,ITM10090,WH_L88,177,0.97,0.546
92,ITM10091,WH_L83,32,0.89,0.653
93,ITM10092,WH_L10,144,0.87,0.453
94,ITM10093,WH_L78,136,0.72,0.543
95,ITM10094,WH_L82,46,0.92,0.626
96,ITM10095,WH_L22,16,0.91,0.667
97,ITM10096,WH_L69,86,0.89,0.698
98,ITM10097,WH_L94,91,0.78,0.506
99,ITM10098,WH_L32,104,0.98,0.725
100,ITM10099,WH_L21,31,0.8,0.392
101,ITM10100,WH_L60,87,0.75,0.526
102,ITM10101,WH_L49,91,1.0,0.777
103,ITM10102,WH_L35,154,0.92,0.826
104,ITM10103,WH_L82,28,0.82,0.508
105,ITM10104,WH_L89,104,0.98,0.506
106,ITM10105,WH_L72,48,0.73,0.579
107,ITM10106,WH_L29,126,0.73,0.494
108,ITM10107,WH_L88,45,0.9,0.753
109,ITM10108,WH_L42,24,0.75,0.662
110,ITM10109,WH_L99,166,0.98,0.475
111,ITM10110,WH_L100,69,0.95,0.337
112,ITM10111,WH_L8,177,0.79,0.535
113,ITM10112,WH_L30,153,0.97,0.614
114,ITM10113,WH_L5,170,0.71,0.446
115,ITM10114,WH_L41,98,0.86,0.514
116,ITM10115,WH_L52,25,0.98,0.721
117,ITM10116,WH_L35,167,0.96,0.544
118,ITM10117,WH_L9,107,0.81,0.451
119,ITM10118,WH_L28,113,0.75,0.593
120,ITM10119,WH_L73,53,0.76,0.587
121,ITM10120,WH_L92,175,0.85,0.495
122,ITM10121,WH_L41,60,0.88,0.791
