item_id,category,unit_price,handling_cost_per_unit,holding_cost_per_unit_day,item_popularity_score
ITM10000,Pharma,117.8,3.61,1.14,0.43
ITM10001,Automotive,178.8,3.54,1.09,0.69
ITM10002,Groceries,54.05,0.52,0.95,0.62
ITM10003,Automotive,31.1,2.64,1.9,0.21
ITM10004,Automotive,104.97,1.4,0.63,0.31
ITM10005,Apparel,164.12,1.96,0.66,0.41
ITM10006,Groceries,134.38,4.9,0.37,0.28
ITM10007,Groceries,131.09,0.88,1.42,0.24
ITM10008,Groceries,13.32,3.75,0.71,0.15
ITM10009,Automotive,70.32,1.28,1.63,0.89
ITM10010,Pharma,188.5,0.53,1.95,0.36
ITM10011,Groceries,35.51,2.76,0.18,0.36
ITM10012,Automotive,148.01,1.23,1.99,0.29
ITM10013,Apparel,154.27,4.84,0.58,0.53
ITM10014,Pharma,149.24,1.42,0.9,0.56
ITM10015,Apparel,197.96,1.36,1.58,0.29
ITM10016,Pharma,87.75,0.64,1.36,0.65
ITM10017,Automotive,139.62,1.98,1.58,0.75
ITM10018,Electronics,46.79,0.61,0.99,0.44
ITM10019,Pharma,85.94,2.74,1.84,0.63
ITM10020,Apparel,103.4,2.78,1.6,0.55
ITM10021,Automotive,50.82,0.74,0.69,0.28
ITM10022,Pharma,182.29,1.58,1.9,0.76
ITM10023,Electronics,146.08,4.24,1.93,0.82
ITM10024,Electronics,63.91,2.58,0.89,0.68
ITM10025,Groceries,35.64,2.46,1.34,0.39
ITM10026,Groceries,64.69,3.64,1.65,0.93
ITM10027,Apparel,128.37,3.72,1.65,0.51
ITM10028,Pharma,167.02,3.93,0.13,0.34
ITM10029,Pharma,105.6,4.24,1.3,0.47
ITM10030,Groceries,29.47,1.55,1.95,0.72
ITM10031,Pharma,57.37,0.8,0.54,0.86
ITM10032,Pharma,75.58,2.21,1.61,0.42
ITM10033,Electronics,130.87,4.35,1.12,0.31
ITM10034,Groceries,56.86,0.85,0.52,0.66
ITM10035,Automotive,54.45,3.09,0.2,0.93
ITM10036,Groceries,64.38,3.65,1.54,0.26
ITM10037,Automotive,122.58,2.67,0.7,0.82
ITM10038,Electronics,103.6,1.65,0.81,0.53
ITM10039,Apparel,169.91,1.97,1.02,0.82
ITM10040,Pharma,142.61,0.82,1.06,0.55
ITM10041,Electronics,136.7,1.82,0.49,0.44
ITM10042,Pharma,39.38,0.7,1.37,0.73
ITM10043,Apparel,20.49,3.77,1.42,0.91
ITM10044,Apparel,106.9,4.54,0.37,0.39
ITM10045,Electronics,23.61,3.35,1.11,0.51
ITM10046,Apparel,79.16,3.46,1.26,0.31
ITM10047,Automotive,14.96,2.62,0.45,0.27
ITM10048,Apparel,43.59,1.2,1.8,0.8
ITM10049,Pharma,30.97,0.53,1.02,0.28
ITM10050,Pharma,162.19,2.05,0.32,0.81
ITM10051,Pharma,75.76,3.88,0.74,0.49
ITM10052,Pharma,24.98,4.82,1.01,1.0
ITM10053,Automotive,60.44,2.44,0.12,0.28
ITM10054,Groceries,139.73,2.14,0.16,0.18
ITM10055,Electronics,151.67,2.51,0.21,0.17
ITM10056,Pharma,32.77,2.42,1.12,0.85
ITM10057,Apparel,157.93,3.32,0.74,0.49
ITM10058,Pharma,80.41,3.8,1.8,0.1
ITM10059,Apparel,139.08,4.03,1.16,0.89
ITM10060,Apparel,137.59,3.42,1.54,0.89
ITM10061,Pharma,160.78,2.47,1.41,0.83
ITM10062,Automotive,142.46,4.78,1.09,0.32
ITM10063,Apparel,17.38,3.7,1.51,0.44
ITM10064,Apparel,108.7,2.42,1.13,0.77
ITM10065,Pharma,41.57,2.51,0.83,0.54
ITM10066,Apparel,194.29,4.18,0.93,0.24
ITM10067,Apparel,58.61,2.48,1.69,0.32
ITM10068,Pharma,89.82,2.82,1.17,0.98
ITM10069,Pharma,47.37,1.81,0.82,0.24
ITM10070,Electronics,35.57,4.28,0.44,0.75
ITM10071,Automotive,124.18,2.85,1.04,0.53
ITM10072,Automotive,103.7,2.99,0.58,0.77
ITM10073,Apparel,81.19,4.46,1.92,0.7
ITM10074,Automotive,26.23,4.64,1.03,0.5
ITM10075,Apparel,149.83,4.21,0.12,0.42
ITM10076,Electronics,11.11,0.79,0.28,0.78
ITM10077,Pharma,96.96,2.5,0.64,0.39
ITM10078,Pharma,130.19,2.04,0.28,0.81
ITM10079,Pharma,91.84,1.46,1.8,0.71
ITM10080,Automotive,33.98,4.59,1.72,0.62
ITM10081,Electronics,157.87,4.51,1.94,0.43
ITM10082,Automotive,71.55,2.59,1.44,0.28
ITM10083,Automotive,35.6,1.11,1.33,0.74
ITM10084,Electronics,114.55,0.56,1.85,0.18
ITM10085,Electronics,13.64,2.47,1.9,0.97
ITM10086,Electronics,71.57,0.68,1.77,0.98
ITM10087,Electronics,152.62,3.24,1.74,0.22
